X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ,Field17
114.936493,4.585113,1090,PO1000008299,WTK HOLDINGS BHD,BIOGROW CITY PLANTATIONS SDN BHD,BIOGROW CITY PLANTATIONS,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.585113,114.936493,"4.585113, 114.936493",114.936493,4.585113,MYS,Malaysia,Sarawak,Limbang,1-Fully Verified, , 
-71.959972,5.087917,1091,PO1000008301,UNKNOWN,INDUSTRIAL ACEITERA DE CASANARE S.A. SUCURSAL COLOMBIA S.A.,INDUSTRIAL ACEITERA DE CASANARE S.A.,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.087917,-71.959972,"5.087917, -71.959972",-71.959972,5.087917,COL,Colombia,Casanare,Orocué,2-High Confidence, , 
117.909014,5.254581,1092,PO1000008304,KWANTAS CORPORATION BERHAD,KWANTAS OIL SDN BHD,MEWAH,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.254581,117.909014,"5.254581, 117.909014",117.909014,5.254581,MYS,Malaysia,Sabah,Kinabatangan,1-Fully Verified, , 
116.00853,5.254648,1093,PO1000008305,TANER INDUSTRIAL TECHNOLOGY (M) SDN BHD,TANER R&D PALM OIL MILL SDN BHD,TANER R&D,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.254648,116.00853,"5.254648, 116.00853",116.00853,5.254648,MYS,Malaysia,Sabah,Tenom,2-High Confidence, , 
102.859792,5.338811,1094,PO1000008310,FGV HOLDINGS BERHAD,FGV PALM INDUSTRIES SDN BHD,SUNGAI TONG,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.338811,102.859792,"5.338811, 102.859792",102.859792,5.338811,MYS,Malaysia,Trengganu,Setiu,1-Fully Verified, , 
101.935778,5.5075,1095,PO1000008312,KUMPULAN PERLADANGAN PKINK BHD,LADANG TAPIS SDN BHD (LTSB),KILANG SAWIT TAPIS,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.5075,101.935778,"5.5075, 101.935778",101.935778,5.5075,MYS,Malaysia,Kelantan,Jeli,2-High Confidence, , 
116.879974,5.660384,1096,PO1000008314,TOUPOS PALM OIL MILL SDN BHD,TOUPOS PALM OIL MILL SDN BHD,TOUPOS,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.660384,116.879974,"5.660384, 116.879974",116.879974,5.660384,MYS,Malaysia,Sabah,Ranau,1-Fully Verified, , 
117.411009,5.672079,1097,PO1000008315,MONSOK PALM OIL MILL SDN BHD,MONSOK PALM OIL MILL SDN BHD,MONSOK,Not RSPO Certified, ,2020/09/01 00:00:00+00,5.672079,117.411009,"5.672079, 117.411009",117.411009,5.672079,MYS,Malaysia,Sabah,Beluran,1-Fully Verified, , 
117.353554,6.049534,1098,PO1000008316,GENTING PLANTATIONS,GENTING SDC SDN BHD,ASIATIC SABAPALM,Not RSPO Certified, ,2020/09/01 00:00:00+00,6.049534,117.353554,"6.049534, 117.353554",117.353554,6.049534,MYS,Malaysia,Sabah,Beluran,2-High Confidence, , 
-0.87636,6.18661,1099,PO1000008317,OBOOMA FARMS GHANA,OBOOMA FARMS GHANA,OBOOMA FARMS,Not RSPO Certified, ,2020/09/01 00:00:00+00,6.18661,-0.87636,"6.18661, -0.87636",-0.87636,6.18661,GHA,Ghana,Eastern,Kwabibirem,1-Fully Verified, , 
99.293394,8.110844,1100,PO1000008324,UNKNOWN,THAINDO PALM OIL FACTORY CO LTD,THAINDO PALM OIL FACTORY CO LTD,Not RSPO Certified, ,2020/09/01 00:00:00+00,8.110844,99.293394,"8.110844, 99.293394",99.293394,8.110844,THA,Thailand,Krabi,Lam Thap,1-Fully Verified, , 
99.970215,8.317529,1101,PO1000008325,UNKNOWN,"KASAT LUMNAUM CO,. LTD.","KASAT LUMNAUM CO,. LTD.",Not RSPO Certified, ,2020/09/01 00:00:00+00,8.317529,99.970215,"8.317529, 99.970215",99.970215,8.317529,THA,Thailand,Nakhon Si Thammarat,Phra Phrom,1-Fully Verified, , 
98.864172,8.38929,1102,PO1000008328,UNKNOWN,KRABI PALM OIL COMMUNITY COOPERATIVE,KRABI PALM OIL COMMUNITY COOPERATIVE,Not RSPO Certified, ,2020/09/01 00:00:00+00,8.38929,98.864172,"8.38929, 98.864172",98.864172,8.38929,THA,Thailand,Krabi,Ao Luk,1-Fully Verified, , 
99.06922,8.434946,1103,PO1000008329,UNKNOWN,"P.PANIT RUNGRUENG PALM OIL   CO.,LTD.","P.PANIT RUNGRUENG PALM OIL   CO.,LTD.",Not RSPO Certified, ,2020/09/01 00:00:00+00,8.434946,99.06922,"8.434946, 99.06922",99.06922,8.434946,THA,Thailand,Surat Thani,Chaiburi,1-Fully Verified, , 
